name
Abby
Alice
Amber
Annie
Bella
Betty
Bonnie
Cleo
Coco
Daisy
Dolly
Dotty
Ellie
Elsie
Evie
Flora
Freya
Gigi
Ginger
Gracie
Hazel
Holly
Ivy
Jessie
Josie
Juno
Lily
Lola
Lottie
Lucy
Lulu
Luna
Mabel
Maisie
Maya
Millie
Minnie
Molly
Nala
Nellie
Olive
Penny
Pepper
Phoebe
Pippa
Pixie
Poppy
Rosie
Ruby
Sadie
Sally
Sasha
Suki
Tilly
Winnie
Zoe
Ada
Angel
April
Ava
Bambi
Belle
Birdie
Blossom
Bluebell
Callie
Cassie
Cherry
Chloe
Cookie
Daphne
Delilah
Dora
Edie
Effie
Ember
Fifi
Fleur
Honey
Indie
Izzy
Kiki
Layla
Lexi
Maggie
Maple
Mimi
Misty
Nina
Opal
Peaches
Pearl
Peggy
Roxy
Skye
Sophie
Trixie
Willow
Zelda
Zuzu
