name
George
Abu
Boots
King Louie
Jack
Mojo Jojo
Coco
Peanut
Bandito
Ziggy
Dexter
Mischief
Banana
Coconut
Mango
Master Monkey
Son Goku
Mt. Teeny
Bi-pedal Ape
Agent Nine
Maurice
Mort
Ted
Chong
Furious
Marcel
Pogo
Klaus
Joey
Davey
Bingo
Bear
Buttons
Django
Chee-Chee
Rafiki
Al
Captain Gutt
Silas
Guido
Flynn
Manny
Steve
Chump
Blinky
Spyke
Ozzie
Strut
Torg
Kala
Kerchak
Terk
Zugor
Gobo
Attar
Limbo
Digit
